Logradouro/Nome:;Bairro/Distrito:;Localidade/UF:;CEP:
Acesso 2 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-186
Alameda Alvoradaÿ;Serraria Brasilÿ;Feira de Santana/BA;44003-314
Avenida Artˆmia Pires de Freitas - de 10100 a 10120 - lado parÿ;Registroÿ;Feira de Santana/BA;44073-540
Avenida Artˆmia Pires de Freitas - de 10121/10122 ao fimÿ;Registroÿ;Feira de Santana/BA;44073-440
Avenida Azaleiasÿ;Registroÿ;Feira de Santana/BA;44073-200
Avenida Banco do Nordesteÿ;CISÿ;Feira de Santana/BA;44010-665
Avenida Centro das Ind£strias - lado ¡mparÿ;CISÿ;Feira de Santana/BA;44010-865
Avenida Centro das Ind£strias - lado parÿ;CISÿ;Feira de Santana/BA;44010-860
Avenida Deputado Lu¡s Eduardo MagalhÆes - do km 521,500 ao km 522,999ÿ;Avi rioÿ;Feira de Santana/BA;44096-486
Avenida Doutor Silvio Antonio Matosÿ;Registroÿ;Feira de Santana/BA;44073-570
Avenida Eduardo Fr¢es da Motaÿ;Bras¡liaÿ;Feira de Santana/BA;44089-340
Avenida Eduardo Fr¢es da Motaÿ;Calumbiÿ;Feira de Santana/BA;44009-730
Avenida Eduardo Fr¢es da Motaÿ;Campo Limpoÿ;Feira de Santana/BA;44032-002
Avenida Eduardo Fr¢es da Motaÿ;Pampalonaÿ;Feira de Santana/BA;44031-641
Avenida Francisco Fraga Maiaÿ;Mangabeiraÿ;Feira de Santana/BA;44056-232
Avenida Get£lio Vargas - de 1186 a 1346 - lado parÿ;Ponto Centralÿ;Feira de Santana/BA;44075-155
Avenida Governador JoÆo Durval Carneiroÿ;Tombaÿ;Feira de Santana/BA;44090-008
Avenida Governador JoÆo Durval Carneiro - de 2056 a 2798 - lado parÿ;Ponto Centralÿ;Feira de Santana/BA;44075-196
Avenida Governador JoÆo Durval Carneiro - de 2117 a 2421 - lado ¡mparÿ;Ponto Centralÿ;Feira de Santana/BA;44075-185
Avenida Ipanemaÿ;Gabrielaÿ;Feira de Santana/BA;44028-405
Avenida Jorge Bastos Lealÿ;Registroÿ;Feira de Santana/BA;44073-500
Avenida Juvenal Azevedo Matosÿ;Parque Ipˆÿ;Feira de Santana/BA;44054-780
Avenida Lucilƒndiaÿ;Gabrielaÿ;Feira de Santana/BA;44030-322
Avenida Maria Quit‚ria - de 1447 a 2083 - lado ¡mparÿ;Ponto Centralÿ;Feira de Santana/BA;44075-005
Avenida Presidente Dutra - de 2419 a 2771 - lado ¡mparÿ;Bras¡liaÿ;Feira de Santana/BA;44088-451
Avenida Presidente Dutra - de 2773 ao fim - lado ¡mparÿ;Bras¡liaÿ;Feira de Santana/BA;44088-455
Avenida Pr¢-Bahia - lado parÿ;CISÿ;Feira de Santana/BA;44010-850
Avenida Professor Fernando SÆo Paulo - at‚ 586/587ÿ;Ponto Centralÿ;Feira de Santana/BA;44075-045
Avenida Quit‚ria Alvinÿ;Asa Brancaÿ;Feira de Santana/BA;44046-600
Avenida Sete Lagoasÿ;Mangabeiraÿ;Feira de Santana/BA;44056-784
Caminho 1 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-064
Caminho 1 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-278
Caminho 1 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-421
Caminho 10 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-120
Caminho 10 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-448
Caminho 11 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-451
Caminho 13 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-457
Caminho 17 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-188
Caminho 18 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-164
Caminho 18 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-206
Caminho 19 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-168
Caminho 19 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-236
Caminho 2 (Feira IX)ÿ;Calumbiÿ;Feira de Santana/BA;44009-072
Caminho 2 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-260
Caminho 2 (Lot Amaralina)ÿ;Gabrielaÿ;Feira de Santana/BA;44028-424
Caminho 20 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-172
Caminho 20 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-266
Caminho 21 (Feira V)ÿ;Mangabeiraÿ;Feira de Santana/BA;44056-176
Caminho 21 (Jomafa)ÿ;Bras¡liaÿ;Feira de Santana/BA;44089-248
