"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"Acesso 2 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-186"""
"Alameda Alvorada,""Serraria Brasil "",""Feira de Santana/BA"",""44003-314"""
"Avenida Artêmia Pires de Freitas - de 10100 a 10120 - lado par,""Registro "",""Feira de Santana/BA"",""44073-540"""
"Avenida Artêmia Pires de Freitas - de 10121/10122 ao fim ,""Registro "",""Feira de Santana/BA"",""44073-440"""
"Avenida Azaleias,""Registro "",""Feira de Santana/BA"",""44073-200"""
"Avenida Banco do Nordeste,""CIS "",""Feira de Santana/BA"",""44010-665"""
"Avenida Centro das Indústrias - lado ímpar,""CIS "",""Feira de Santana/BA"",""44010-865"""
"Avenida Centro das Indústrias - lado par,""CIS "",""Feira de Santana/BA"",""44010-860"""
"Avenida Deputado Luís Eduardo Magalhães - do km 521,500 ao km 522,999,""Aviário "",""Feira de Santana/BA"",""44096-486"""
"Avenida Doutor Silvio Antonio Matos,""Registro "",""Feira de Santana/BA"",""44073-570"""
"Avenida Eduardo Frões da Mota,""Brasília "",""Feira de Santana/BA"",""44089-340"""
"Avenida Eduardo Frões da Mota,""Calumbi "",""Feira de Santana/BA"",""44009-730"""
"Avenida Eduardo Frões da Mota,""Campo Limpo "",""Feira de Santana/BA"",""44032-002"""
"Avenida Eduardo Frões da Mota,""Pampalona "",""Feira de Santana/BA"",""44031-641"""
"Avenida Francisco Fraga Maia,""Mangabeira "",""Feira de Santana/BA"",""44056-232"""
"Avenida Getúlio Vargas - de 1186 a 1346 - lado par,""Ponto Central "",""Feira de Santana/BA"",""44075-155"""
"Avenida Governador João Durval Carneiro,""Tomba "",""Feira de Santana/BA"",""44090-008"""
"Avenida Governador João Durval Carneiro - de 2056 a 2798 - lado par,""Ponto Central "",""Feira de Santana/BA"",""44075-196"""
"Avenida Governador João Durval Carneiro - de 2117 a 2421 - lado ímpar,""Ponto Central "",""Feira de Santana/BA"",""44075-185"""
"Avenida Ipanema,""Gabriela "",""Feira de Santana/BA"",""44028-405"""
"Avenida Jorge Bastos Leal,""Registro "",""Feira de Santana/BA"",""44073-500"""
"Avenida Juvenal Azevedo Matos,""Parque Ipé "",""Feira de Santana/BA"",""44054-780"""
"Avenida Lucilândia,""Gabriela "",""Feira de Santana/BA"",""44030-322"""
"Avenida Maria Quitéria - de 1447 a 2083 - lado ímpar,""Ponto Central "",""Feira de Santana/BA"",""44075-005"""
"Avenida Presidente Dutra - de 2419 a 2771 - lado ímpar,""Brasília "",""Feira de Santana/BA"",""44088-451"""
"Avenida Presidente Dutra - de 2773 ao fim - lado ímpar,""Brasília "",""Feira de Santana/BA"",""44088-455"""
"Avenida Prõ-Bahia - lado par,""CIS "",""Feira de Santana/BA"",""44010-850"""
"Avenida Professor Fernando São Paulo - até 586/587,""Ponto Central "",""Feira de Santana/BA"",""44075-045"""
"Avenida Quitéria Alvin,""Asa Branca "",""Feira de Santana/BA"",""44046-600"""
"Avenida Sete Lagoas,""Mangabeira "",""Feira de Santana/BA"",""44056-784"""
"Caminho 1 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-064"""
"Caminho 1 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-278"""
"Caminho 1 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-421"""
"Caminho 10 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-120"""
"Caminho 10 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-448"""
"Caminho 11 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-451"""
"Caminho 13 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-457"""
"Caminho 17 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-188"""
"Caminho 18 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-164"""
"Caminho 18 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-206"""
"Caminho 19 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-168"""
"Caminho 19 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-236"""
"Caminho 2 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-072"""
"Caminho 2 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-260"""
"Caminho 2 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-424"""
"Caminho 20 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-172"""
"Caminho 20 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-266"""
"Caminho 21 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-176"""
"Caminho 21 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-248"""
"Caminho 22 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-184"""
"Caminho 22 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-212"""
"Caminho 23 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-188"""
"Caminho 23 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-194"""
"Caminho 24 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-192"""
"Caminho 25 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-196"""
"Caminho 26 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-200"""
"Caminho 27 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-204"""
"Caminho 28 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-212"""
"Caminho 29 (Feira V),""Mangabeira "",""Feira de Santana/BA"",""44056-216"""
"Caminho 3 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-076"""
"Caminho 3 (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-224"""
"Caminho 3 (Lot Amaralina),""Gabriela "",""Feira de Santana/BA"",""44028-427"""
"Caminho 30 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-012"""
